 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 KPN_TOTAL.DAT
 K+ N --> X
 0.493680    0.939570      0.            0
  99
 67   3.30000    3.28350    3.31650    17.550     5.0E-02 5.0E-02    4.0  4.0  ABRAMS 70        PR D1, 1917
 68   6.00000    5.89800    6.10200    17.500     0.40000 0.40000    1.4  1.4  GALBRAITH 65     PR 138, B913
 69   8.00000    7.86400    8.13600    17.600     0.40000 0.40000    1.4  1.4  GALBRAITH 65     PR 138, B913
 70   10.00000   9.83000    10.17000   17.500     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 71   12.00000   11.79600   12.20400   17.600     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 72   14.00000   13.76200   14.23800   17.500     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 73   15.00000   15.00000   15.00000   17.870     0.23000 0.23000    1.3  1.3  DENISOV 71       PL 36B, 415
 74   16.00000   15.72800   16.27200   17.400     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 75   18.00000   17.69400   18.30600   17.600     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 76   20.00000   20.00000   20.00000   17.940     0.28000 0.28000    1.3  1.3  DENISOV 71       PL 36B, 415
 77   20.00000   19.66000   20.34000   17.700     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 78   25.00000   25.00000   25.00000   17.780     0.18000 0.18000    1.3  1.3  DENISOV 71       PL 36B, 415
 79   30.00000   30.00000   30.00000   17.690     0.18000 0.18000    1.3  1.3  DENISOV 71       PL 36B, 415
 80   35.00000   35.00000   35.00000   18.290     0.15000 0.15000    0.7  0.7  CARROLL 76       PL 61B, 303
 81   35.00000   35.00000   35.00000   18.120     0.18000 0.18000    1.3  1.3  DENISOV 71       PL 36B, 415
 82   40.00000   40.00000   40.00000   18.150     0.22000 0.22000    1.3  1.3  DENISOV 71       PL 36B, 415
 83   45.00000   45.00000   45.00000   18.300     0.24000 0.24000    1.3  1.3  DENISOV 71       PL 36B, 415
 84   50.00000   50.00000   50.00000   18.660     0.14000 0.14000    0.7  0.7  CARROLL 76       PL 61B, 303
 85   50.00000   50.00000   50.00000   18.560     0.18000 0.18000    0.7  0.7  CARROLL 74       PRL 33, 932
 86   50.00000   50.00000   50.00000   18.020     0.20000 0.20000    1.3  1.3  DENISOV 71       PL 36B, 415
 87   55.00000   55.00000   55.00000   18.430     0.24000 0.24000    1.3  1.3  DENISOV 71       PL 36B, 415
 88   70.00000   70.00000   70.00000   18.600     0.14000 0.14000    0.7  0.7  CARROLL 76       PL 61B, 303
 89   100.00000  100.00000  100.00000  19.040     0.11000 0.11000    0.7  0.7  CARROLL 76       PL 61B, 303
 90   100.00000  100.00000  100.00000  18.990     0.15000 0.15000    0.7  0.7  CARROLL 74       PRL 33, 932
 91   120.00000  120.00000  120.00000  19.230     0.13000 0.13000    0.7  0.7  CARROLL 76       PL 61B, 303
 92   150.00000  150.00000  150.00000  19.630     0.12000 0.12000    0.7  0.7  CARROLL 76       PL 61B, 303
 93   150.00000  150.00000  150.00000  19.550     0.15000 0.15000    0.7  0.7  CARROLL 74       PRL 33, 932
 94   170.00000  170.00000  170.00000  19.740     0.10000 0.10000    0.7  0.7  CARROLL 76       PL 61B, 303
 95   200.00000  200.00000  200.00000  19.720     0.11000 0.11000    0.7  0.7  CARROLL 79       PL 80B, 423
 96   200.00000  200.00000  200.00000  19.820     0.19000 0.19000    0.7  0.7  CARROLL 74       PRL 33, 932
 97   240.00000  240.00000  240.00000  20.370     9.0E-02 9.0E-02    0.7  0.7  CARROLL 79       PL 80B, 423
 98   280.00000  280.00000  280.00000  20.610     0.10000 0.10000    0.7  0.7  CARROLL 79       PL 80B, 423
 99   310.00000  310.00000  310.00000  20.800     0.26000 0.26000    0.7  0.7  CARROLL 79       PL 80B, 423
